"age_group","outcome","est","se",".imp","method"
"50–59","Mod+Sev",0.481596145307466,0.0185700716884981,9,"PMM"
"60–69","Mod+Sev",0.554965649816034,0.0210372924552937,9,"PMM"
"70–79","Mod+Sev",0.672196845023843,0.0234236930855648,9,"PMM"
"80+","Mod+Sev",0.780523460268474,0.0232377079242817,9,"PMM"
"30–39","Severe",0.0397094236281134,0.00411397460190026,10,"PMM"
"40–49","Severe",0.095598209840271,0.00813010857514274,10,"PMM"
"50–59","Severe",0.144308576210155,0.0100868804508044,10,"PMM"
"60–69","Severe",0.165190924576179,0.0174706275454036,10,"PMM"
"70–79","Severe",0.153535306794533,0.0152098228684322,10,"PMM"
"80+","Severe",0.161823008964378,0.0181938352749362,10,"PMM"
"30–39","Mod+Sev",0.232124162974184,0.0151402404268965,10,"PMM"
"40–49","Mod+Sev",0.363722151887372,0.0170129401415648,10,"PMM"
"50–59","Mod+Sev",0.487199399881097,0.0175483052665528,10,"PMM"
"60–69","Mod+Sev",0.569382813464068,0.0213365115400866,10,"PMM"
"70–79","Mod+Sev",0.661422175296902,0.0231432187480538,10,"PMM"
"80+","Mod+Sev",0.795668067837068,0.0239746685589492,10,"PMM"
